ID Anggota,Nama,NIK,No HP,Email,Alamat,Tanggal Daftar,Status,Total Simpanan,Total Pinjaman
KMS001,Anggota 1,320473081319565,086618986576,anggota1@example.com,Jalan Contoh No. 1,2025-06-26,Aktif,500000,10000000
KMS002,Anggota 2,320185555334460,082521077000,anggota2@example.com,Jalan Contoh No. 2,2026-03-03,Aktif,1650000,0
KMS003,Anggota 3,320152221313637,083633673671,anggota3@example.com,Jalan Contoh No. 3,2026-03-29,Nonaktif,550000,0
KMS004,Anggota 4,320748416389677,081781348838,anggota4@example.com,Jalan Contoh No. 4,2025-09-08,Aktif,1350000,0
KMS005,Anggota 5,320753019492158,086436290765,anggota5@example.com,Jalan Contoh No. 5,2025-05-23,Aktif,2550000,0
KMS006,Anggota 6,320562649083557,088363910600,anggota6@example.com,Jalan Contoh No. 6,2026-01-15,Aktif,350000,0
KMS007,Anggota 7,320505546868733,086960721979,anggota7@example.com,Jalan Contoh No. 7,2025-06-14,Aktif,2050000,0
KMS008,Anggota 8,320145056481626,087160164351,anggota8@example.com,Jalan Contoh No. 8,2025-05-10,Aktif,1700000,0
KMS009,Anggota 9,320529868250286,089224666532,anggota9@example.com,Jalan Contoh No. 9,2025-11-30,Aktif,3400000,0
KMS010,Anggota 10,320741421562462,084888603499,anggota10@example.com,Jalan Contoh No. 10,2025-09-02,Aktif,800000,1000000
KMS011,Anggota 11,320706146721639,086402655241,anggota11@example.com,Jalan Contoh No. 11,2026-03-18,Aktif,1500000,0
KMS012,Anggota 12,320946864625224,083190293375,anggota12@example.com,Jalan Contoh No. 12,2025-09-04,Aktif,700000,0
KMS013,Anggota 13,320605041806834,086838500859,anggota13@example.com,Jalan Contoh No. 13,2025-09-23,Aktif,2900000,0
KMS014,Anggota 14,320262406000773,089047888309,anggota14@example.com,Jalan Contoh No. 14,2026-02-17,Aktif,500000,10000000
KMS015,Anggota 15,320963873641127,084782475931,anggota15@example.com,Jalan Contoh No. 15,2025-09-05,Aktif,400000,0
KMS016,Anggota 16,320900460189754,085895570607,anggota16@example.com,Jalan Contoh No. 16,2026-01-06,Aktif,0,0
KMS017,Anggota 17,320827877705956,087157697447,anggota17@example.com,Jalan Contoh No. 17,2025-09-23,Nonaktif,4150000,0
KMS018,Anggota 18,320841609933973,087422918888,anggota18@example.com,Jalan Contoh No. 18,2026-02-11,Nonaktif,1000000,0
KMS019,Anggota 19,320655953269581,085424312917,anggota19@example.com,Jalan Contoh No. 19,2025-10-03,Aktif,2450000,2500000
KMS020,Anggota 20,320774193156254,088221524863,anggota20@example.com,Jalan Contoh No. 20,2026-03-07,Aktif,500000,0
KMS021,Anggota 21,320938359660960,082531495109,anggota21@example.com,Jalan Contoh No. 21,2026-03-16,Nonaktif,1350000,0
KMS022,Anggota 22,320450048109574,082702822972,anggota22@example.com,Jalan Contoh No. 22,2025-07-15,Aktif,100000,0
KMS023,Anggota 23,320771464743640,088764901533,anggota23@example.com,Jalan Contoh No. 23,2025-08-09,Nonaktif,1350000,0
KMS024,Anggota 24,320309769184442,089689182960,anggota24@example.com,Jalan Contoh No. 24,2025-12-16,Aktif,1950000,0
KMS025,Anggota 25,320209736201640,087910884871,anggota25@example.com,Jalan Contoh No. 25,2025-07-31,Aktif,2600000,0
KMS026,Anggota 26,320953653375023,081410982099,anggota26@example.com,Jalan Contoh No. 26,2025-12-08,Nonaktif,850000,0
KMS027,Anggota 27,320945727282786,086762754280,anggota27@example.com,Jalan Contoh No. 27,2025-10-17,Aktif,2000000,7500000
KMS028,Anggota 28,320390190520091,087664774412,anggota28@example.com,Jalan Contoh No. 28,2025-07-19,Aktif,2050000,0
KMS029,Anggota 29,320135482988837,083600750484,anggota29@example.com,Jalan Contoh No. 29,2025-05-06,Aktif,1250000,0
KMS030,Anggota 30,320868771910327,085272473764,anggota30@example.com,Jalan Contoh No. 30,2026-03-25,Nonaktif,2950000,0
KMS031,Anggota 31,320791181440660,086263824232,anggota31@example.com,Jalan Contoh No. 31,2026-01-25,Aktif,2000000,0
KMS032,Anggota 32,320890798206769,089882212075,anggota32@example.com,Jalan Contoh No. 32,2026-02-15,Nonaktif,1550000,0
KMS033,Anggota 33,320245533104694,087810037564,anggota33@example.com,Jalan Contoh No. 33,2025-06-21,Aktif,600000,0
KMS034,Anggota 34,320476058859233,089411739246,anggota34@example.com,Jalan Contoh No. 34,2025-10-29,Nonaktif,1600000,0
KMS035,Anggota 35,320440827923096,081583707384,anggota35@example.com,Jalan Contoh No. 35,2025-09-16,Aktif,2850000,0
KMS036,Anggota 36,320302966492279,087873028652,anggota36@example.com,Jalan Contoh No. 36,2026-02-02,Aktif,1300000,10000000
KMS037,Anggota 37,320558108349800,082394016347,anggota37@example.com,Jalan Contoh No. 37,2026-01-20,Aktif,0,0
KMS038,Anggota 38,320515270092833,088495017185,anggota38@example.com,Jalan Contoh No. 38,2026-02-11,Aktif,1950000,0
KMS039,Anggota 39,320454437406399,081426983096,anggota39@example.com,Jalan Contoh No. 39,2025-12-14,Aktif,2650000,0
KMS040,Anggota 40,320314846993244,086338711892,anggota40@example.com,Jalan Contoh No. 40,2025-07-25,Aktif,2250000,0
KMS041,Anggota 41,320504632477435,087844866714,anggota41@example.com,Jalan Contoh No. 41,2026-02-04,Aktif,800000,0
KMS042,Anggota 42,320381252866771,082857008891,anggota42@example.com,Jalan Contoh No. 42,2025-05-10,Aktif,2650000,0
KMS043,Anggota 43,320158567939561,089321570188,anggota43@example.com,Jalan Contoh No. 43,2025-12-28,Aktif,500000,0
KMS044,Anggota 44,320709430131427,089464387702,anggota44@example.com,Jalan Contoh No. 44,2025-07-15,Aktif,1900000,0
KMS045,Anggota 45,320380789412177,088089513248,anggota45@example.com,Jalan Contoh No. 45,2025-06-18,Aktif,50000,0
KMS046,Anggota 46,320667990504394,087862109775,anggota46@example.com,Jalan Contoh No. 46,2025-05-24,Aktif,3000000,0
KMS047,Anggota 47,320279487253464,089137833907,anggota47@example.com,Jalan Contoh No. 47,2026-01-18,Aktif,500000,10000000
KMS048,Anggota 48,320831253765953,081835554826,anggota48@example.com,Jalan Contoh No. 48,2025-09-10,Aktif,3000000,0
KMS049,Anggota 49,320190209380281,085408142531,anggota49@example.com,Jalan Contoh No. 49,2025-12-14,Aktif,1650000,1000000
