ID Angsuran,ID Pinjaman,ID Anggota,Nama,Bulan Ke,Tanggal Bayar,Nominal,Status,Denda
ANG2026050000,PNJ202605001,KMS014,Anggota 14,1,2026-05-04,833333.3333333334,Lunas,0
ANG2026050001,PNJ202605001,KMS014,Anggota 14,2,2026-04-15,833333.3333333334,Terlambat,0
ANG2026050002,PNJ202605006,KMS019,Anggota 19,1,2026-04-27,416666.6666666667,Terlambat,0
ANG2026050003,PNJ202605006,KMS019,Anggota 19,2,2026-04-30,416666.6666666667,Terlambat,0
ANG2026050004,PNJ202605006,KMS019,Anggota 19,3,2026-04-23,416666.6666666667,Lunas,0
ANG2026050005,PNJ202605006,KMS019,Anggota 19,4,2026-04-14,416666.6666666667,Terlambat,0
ANG2026050006,PNJ202605006,KMS019,Anggota 19,5,2026-04-23,416666.6666666667,Terlambat,0
ANG2026050007,PNJ202605015,KMS049,Anggota 49,1,2026-04-14,166666.66666666666,Terlambat,0
ANG2026050008,PNJ202605016,KMS036,Anggota 36,1,2026-04-28,416666.6666666667,Lunas,0
ANG2026050009,PNJ202605016,KMS036,Anggota 36,2,2026-04-27,416666.6666666667,Lunas,0
ANG2026050010,PNJ202605016,KMS036,Anggota 36,3,2026-04-14,416666.6666666667,Terlambat,0
ANG2026050011,PNJ202605016,KMS036,Anggota 36,4,2026-04-12,416666.6666666667,Terlambat,0
ANG2026050012,PNJ202605016,KMS036,Anggota 36,5,2026-04-10,416666.6666666667,Terlambat,0
ANG2026050013,PNJ202605016,KMS036,Anggota 36,6,2026-04-14,416666.6666666667,Terlambat,0
ANG2026050014,PNJ202605016,KMS036,Anggota 36,7,2026-05-01,416666.6666666667,Lunas,0
ANG2026050015,PNJ202605016,KMS036,Anggota 36,8,2026-05-05,416666.6666666667,Lunas,0
ANG2026050016,PNJ202605016,KMS036,Anggota 36,9,2026-04-18,416666.6666666667,Lunas,0
ANG2026050017,PNJ202605016,KMS036,Anggota 36,10,2026-04-18,416666.6666666667,Lunas,0
ANG2026050018,PNJ202605016,KMS036,Anggota 36,11,2026-04-25,416666.6666666667,Lunas,0
ANG2026050019,PNJ202605016,KMS036,Anggota 36,12,2026-04-13,416666.6666666667,Lunas,0
ANG2026050020,PNJ202605016,KMS036,Anggota 36,13,2026-04-10,416666.6666666667,Lunas,0
ANG2026050021,PNJ202605016,KMS036,Anggota 36,14,2026-04-27,416666.6666666667,Lunas,0
ANG2026050022,PNJ202605016,KMS036,Anggota 36,15,2026-04-26,416666.6666666667,Lunas,0
ANG2026050023,PNJ202605016,KMS036,Anggota 36,16,2026-04-30,416666.6666666667,Lunas,0
ANG2026050024,PNJ202605016,KMS036,Anggota 36,17,2026-04-28,416666.6666666667,Lunas,0
ANG2026050025,PNJ202605016,KMS036,Anggota 36,18,2026-05-02,416666.6666666667,Lunas,0
ANG2026050026,PNJ202605016,KMS036,Anggota 36,19,2026-05-03,416666.6666666667,Lunas,0
ANG2026050027,PNJ202605016,KMS036,Anggota 36,20,2026-04-25,416666.6666666667,Terlambat,0
ANG2026050028,PNJ202605017,KMS001,Anggota 1,1,2026-05-01,416666.6666666667,Terlambat,0
ANG2026050029,PNJ202605017,KMS001,Anggota 1,2,2026-04-07,416666.6666666667,Lunas,0
ANG2026050030,PNJ202605017,KMS001,Anggota 1,3,2026-05-02,416666.6666666667,Terlambat,0
ANG2026050031,PNJ202605017,KMS001,Anggota 1,4,2026-04-24,416666.6666666667,Terlambat,0
ANG2026050032,PNJ202605017,KMS001,Anggota 1,5,2026-04-13,416666.6666666667,Terlambat,0
ANG2026050033,PNJ202605017,KMS001,Anggota 1,6,2026-04-12,416666.6666666667,Lunas,0
ANG2026050034,PNJ202605017,KMS001,Anggota 1,7,2026-04-07,416666.6666666667,Lunas,0
ANG2026050035,PNJ202605017,KMS001,Anggota 1,8,2026-04-10,416666.6666666667,Lunas,0
ANG2026050036,PNJ202605017,KMS001,Anggota 1,9,2026-04-21,416666.6666666667,Lunas,0
ANG2026050037,PNJ202605017,KMS001,Anggota 1,10,2026-04-08,416666.6666666667,Terlambat,0
ANG2026050038,PNJ202605017,KMS001,Anggota 1,11,2026-05-04,416666.6666666667,Lunas,0
ANG2026050039,PNJ202605018,KMS027,Anggota 27,1,2026-04-10,833333.3333333334,Lunas,0
ANG2026050040,PNJ202605018,KMS027,Anggota 27,2,2026-04-21,833333.3333333334,Lunas,0
ANG2026050041,PNJ202605018,KMS027,Anggota 27,3,2026-04-06,833333.3333333334,Terlambat,0
ANG2026050042,PNJ202605018,KMS027,Anggota 27,4,2026-05-02,833333.3333333334,Lunas,0
ANG2026050043,PNJ202605023,KMS047,Anggota 47,1,2026-04-24,416666.6666666667,Lunas,0
ANG2026050044,PNJ202605023,KMS047,Anggota 47,2,2026-04-21,416666.6666666667,Lunas,0
ANG2026050045,PNJ202605023,KMS047,Anggota 47,3,2026-04-26,416666.6666666667,Lunas,0
ANG2026050046,PNJ202605023,KMS047,Anggota 47,4,2026-04-20,416666.6666666667,Terlambat,0
ANG2026050047,PNJ202605023,KMS047,Anggota 47,5,2026-05-05,416666.6666666667,Terlambat,0
ANG2026050048,PNJ202605023,KMS047,Anggota 47,6,2026-04-13,416666.6666666667,Terlambat,0
ANG2026050049,PNJ202605023,KMS047,Anggota 47,7,2026-04-06,416666.6666666667,Lunas,0
