ID Pinjaman,ID Anggota,Nama,Tanggal Pengajuan,Jumlah,Tenor (Bulan),Bunga (%),Bagi Hasil (%),Angsuran/Bulan,Sisa Pinjaman,Status,Keterangan
PNJ202605000,KMS046,Anggota 46,2026-04-23,1000000,24,0,10,41666.666666666664,0,Lunas,
PNJ202605001,KMS014,Anggota 14,2026-03-24,10000000,12,0,7,833333.3333333334,10000000,Aktif,
PNJ202605002,KMS010,Anggota 10,2026-04-12,1000000,24,0,10,41666.666666666664,0,Menunggu Persetujuan,
PNJ202605003,KMS045,Anggota 45,2026-03-20,1000000,12,0,5,83333.33333333333,0,Lunas,
PNJ202605004,KMS047,Anggota 47,2026-04-22,5000000,6,0,10,833333.3333333334,0,Menunggu Persetujuan,
PNJ202605005,KMS018,Anggota 18,2026-02-09,1000000,12,0,10,83333.33333333333,0,Lunas,
PNJ202605006,KMS019,Anggota 19,2026-02-23,2500000,6,0,5,416666.6666666667,2500000,Aktif,
PNJ202605007,KMS050,Anggota 50,2026-03-28,1000000,6,0,7,166666.66666666666,0,Lunas,
PNJ202605008,KMS009,Anggota 9,2026-04-12,2500000,12,0,5,208333.33333333334,0,Lunas,
PNJ202605009,KMS027,Anggota 27,2026-04-02,2500000,6,0,5,416666.6666666667,2500000,Aktif,
PNJ202605010,KMS040,Anggota 40,2026-04-05,10000000,6,0,10,1666666.6666666667,0,Menunggu Persetujuan,
PNJ202605011,KMS014,Anggota 14,2026-02-10,1000000,24,0,10,41666.666666666664,0,Lunas,
PNJ202605012,KMS041,Anggota 41,2026-02-15,2500000,24,0,7,104166.66666666667,0,Menunggu Persetujuan,
PNJ202605013,KMS030,Anggota 30,2026-02-09,2500000,24,0,7,104166.66666666667,0,Menunggu Persetujuan,
PNJ202605014,KMS030,Anggota 30,2026-04-15,5000000,24,0,5,208333.33333333334,0,Lunas,
PNJ202605015,KMS049,Anggota 49,2026-03-21,1000000,6,0,10,166666.66666666666,1000000,Aktif,
PNJ202605016,KMS036,Anggota 36,2026-02-19,10000000,24,0,10,416666.6666666667,10000000,Aktif,
PNJ202605017,KMS001,Anggota 1,2026-03-18,10000000,24,0,10,416666.6666666667,10000000,Aktif,
PNJ202605018,KMS027,Anggota 27,2026-03-13,5000000,6,0,7,833333.3333333334,5000000,Aktif,
PNJ202605019,KMS025,Anggota 25,2026-03-06,5000000,12,0,10,416666.6666666667,0,Lunas,
PNJ202605020,KMS019,Anggota 19,2026-04-05,1000000,12,0,10,83333.33333333333,0,Lunas,
PNJ202605021,KMS020,Anggota 20,2026-02-06,1000000,6,0,10,166666.66666666666,0,Lunas,
PNJ202605022,KMS031,Anggota 31,2026-03-14,10000000,12,0,10,833333.3333333334,0,Menunggu Persetujuan,
PNJ202605023,KMS047,Anggota 47,2026-02-17,10000000,24,0,7,416666.6666666667,10000000,Aktif,
PNJ202605024,KMS010,Anggota 10,2026-04-13,1000000,6,0,10,166666.66666666666,1000000,Aktif,
PNJ202605025,KMS033,Anggota 33,2026-03-19,1000000,24,0,10,41666.666666666664,0,Lunas,
PNJ202605026,KMS044,Anggota 44,2026-03-05,5000000,12,0,5,416666.6666666667,0,Menunggu Persetujuan,
PNJ202605027,KMS006,Anggota 6,2026-03-10,5000000,6,0,5,833333.3333333334,0,Menunggu Persetujuan,
PNJ202605028,KMS041,Anggota 41,2026-03-28,10000000,6,0,10,1666666.6666666667,0,Menunggu Persetujuan,
PNJ202605029,KMS003,Anggota 3,2026-03-02,5000000,6,0,7,833333.3333333334,0,Menunggu Persetujuan,
