ID Transaksi,ID Anggota,Nama,Tanggal,Jenis,Nominal,Status,Keterangan
SMP2026050000,KMS028,Anggota 28,2026-01-14,Simpanan Wajib,1000000,Verified,
SMP2026050001,KMS017,Anggota 17,2026-02-06,Simpanan Sukarela,50000,Verified,
SMP2026050002,KMS047,Anggota 47,2026-04-08,Simpanan Wajib,50000,Verified,
SMP2026050003,KMS007,Anggota 7,2025-12-22,Simpanan Wajib,500000,Verified,
SMP2026050004,KMS035,Anggota 35,2026-01-28,Simpanan Pokok,1000000,Verified,
SMP2026050005,KMS043,Anggota 43,2026-02-21,Simpanan Wajib,500000,Verified,
SMP2026050006,KMS007,Anggota 7,2026-02-24,Simpanan Pokok,100000,Verified,
SMP2026050007,KMS018,Anggota 18,2026-04-09,Simpanan Pokok,250000,Verified,
SMP2026050008,KMS032,Anggota 32,2026-02-13,Simpanan Sukarela,50000,Verified,
SMP2026050009,KMS044,Anggota 44,2025-12-13,Simpanan Sukarela,500000,Verified,
SMP2026050010,KMS038,Anggota 38,2026-01-13,Simpanan Pokok,500000,Verified,
SMP2026050011,KMS027,Anggota 27,2025-11-10,Simpanan Pokok,500000,Verified,
SMP2026050012,KMS030,Anggota 30,2026-01-04,Simpanan Sukarela,50000,Verified,
SMP2026050013,KMS038,Anggota 38,2026-01-22,Simpanan Wajib,250000,Verified,
SMP2026050014,KMS001,Anggota 1,2026-03-23,Simpanan Pokok,500000,Verified,
SMP2026050015,KMS020,Anggota 20,2026-03-22,Simpanan Pokok,500000,Verified,
SMP2026050016,KMS046,Anggota 46,2026-04-01,Simpanan Wajib,500000,Verified,
SMP2026050017,KMS034,Anggota 34,2025-11-24,Simpanan Pokok,100000,Verified,
SMP2026050018,KMS030,Anggota 30,2026-04-01,Simpanan Sukarela,500000,Verified,
SMP2026050019,KMS007,Anggota 7,2026-03-09,Simpanan Pokok,100000,Verified,
SMP2026050020,KMS007,Anggota 7,2026-03-07,Simpanan Wajib,1000000,Verified,
SMP2026050021,KMS040,Anggota 40,2026-03-26,Simpanan Pokok,1000000,Verified,
SMP2026050022,KMS017,Anggota 17,2026-04-22,Simpanan Wajib,50000,Verified,
SMP2026050023,KMS044,Anggota 44,2026-01-31,Simpanan Pokok,1000000,Verified,
SMP2026050024,KMS039,Anggota 39,2025-11-17,Simpanan Sukarela,1000000,Verified,
SMP2026050025,KMS040,Anggota 40,2026-03-01,Simpanan Pokok,500000,Verified,
SMP2026050026,KMS048,Anggota 48,2026-02-09,Simpanan Sukarela,500000,Verified,
SMP2026050027,KMS029,Anggota 29,2026-04-01,Simpanan Wajib,250000,Verified,
SMP2026050028,KMS048,Anggota 48,2025-11-06,Simpanan Pokok,1000000,Verified,
SMP2026050029,KMS009,Anggota 9,2026-04-29,Simpanan Pokok,250000,Verified,
SMP2026050030,KMS040,Anggota 40,2026-02-23,Simpanan Wajib,250000,Verified,
SMP2026050031,KMS008,Anggota 8,2025-11-06,Simpanan Sukarela,50000,Verified,
SMP2026050032,KMS027,Anggota 27,2026-03-05,Simpanan Sukarela,50000,Verified,
SMP2026050033,KMS006,Anggota 6,2026-02-20,Simpanan Sukarela,100000,Verified,
SMP2026050034,KMS011,Anggota 11,2026-03-14,Simpanan Sukarela,100000,Verified,
SMP2026050035,KMS031,Anggota 31,2026-03-18,Simpanan Sukarela,250000,Verified,
SMP2026050036,KMS002,Anggota 2,2025-12-19,Simpanan Wajib,100000,Verified,
SMP2026050037,KMS026,Anggota 26,2026-04-06,Simpanan Pokok,100000,Verified,
SMP2026050038,KMS039,Anggota 39,2026-04-28,Simpanan Pokok,500000,Verified,
SMP2026050039,KMS023,Anggota 23,2026-04-04,Simpanan Sukarela,100000,Verified,
SMP2026050040,KMS050,Anggota 50,2025-12-18,Simpanan Wajib,100000,Verified,
SMP2026050041,KMS042,Anggota 42,2026-01-22,Simpanan Sukarela,1000000,Verified,
SMP2026050042,KMS049,Anggota 49,2026-03-31,Simpanan Pokok,1000000,Verified,
SMP2026050043,KMS002,Anggota 2,2025-12-08,Simpanan Pokok,50000,Verified,
SMP2026050044,KMS009,Anggota 9,2026-01-04,Simpanan Sukarela,500000,Verified,
SMP2026050045,KMS032,Anggota 32,2026-03-31,Simpanan Pokok,1000000,Verified,
SMP2026050046,KMS011,Anggota 11,2026-03-22,Simpanan Wajib,50000,Verified,
SMP2026050047,KMS019,Anggota 19,2026-01-02,Simpanan Pokok,50000,Verified,
SMP2026050048,KMS013,Anggota 13,2025-12-13,Simpanan Wajib,250000,Verified,
SMP2026050049,KMS034,Anggota 34,2026-02-20,Simpanan Wajib,1000000,Verified,
SMP2026050050,KMS027,Anggota 27,2026-04-03,Simpanan Sukarela,1000000,Verified,
SMP2026050051,KMS024,Anggota 24,2026-04-06,Simpanan Sukarela,100000,Verified,
SMP2026050052,KMS012,Anggota 12,2026-01-27,Simpanan Pokok,250000,Verified,
SMP2026050053,KMS002,Anggota 2,2025-12-08,Simpanan Wajib,1000000,Verified,
